roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
36002,823094,3387243,823131,3387157
36003,823131,3387157,822968,3387058
36004,822968,3387058,822894,3386920
36005,822894,3386920,822936,3386797
36006,822936,3386797,823038,3386695
36007,823038,3386695,823056,3386625
36008,823056,3386625,823021,3386522
36009,823021,3386522,823029,3386452
36010,823029,3386452,822897,3386266
36011,822897,3386266,822690,3386183
36012,822690,3386183,822462,3386200
36013,822462,3386200,822160,3386287
36101,822982,3387582,823159,3387536
36102,823159,3387536,823099,3387412
36103,823099,3387412,822926,3387456
36201,818125,3387001,817776,3387325
36202,817776,3387325,817703,3387395
36203,817703,3387395,817510,3387490
36204,817510,3387490,817321,3387572
36205,817321,3387572,817193,3387623
36301,818125,3387001,818425,3387406
36401,818425,3387406,818756,3387129
36402,818756,3387129,819000,3387215
36501,818967,3389008,818334,3388092
36502,818334,3388092,818044,3387676
36601,817443,3386884,817429,3386929
36602,817429,3386929,817514,3387183
36603,817514,3387183,817510,3387490
36604,817510,3387490,817471,3387648
36605,817471,3387648,817495,3387717
36701,820244,3388052,820508,3387615
36702,820508,3387615,821315,3387021
36801,818425,3387406,818198,3387558
36802,818198,3387558,818044,3387676
36901,818489,3389350,817741,3388074
36902,817741,3388074,817495,3387717
36903,817495,3387717,817321,3387572
36904,817321,3387572,817243,3387445
36905,817243,3387445,816980,3386826
37001,819000,3387215,819521,3387443
37002,819521,3387443,819776,3387654
37003,819776,3387654,820244,3388052
37101,820508,3387615,820329,3387377
37102,820329,3387377,820249,3387315
37103,820249,3387315,820133,3387258
37104,820133,3387258,819969,3387235
37105,819969,3387235,819776,3387654
37201,818425,3387406,818683,3387659
37202,818683,3387659,818764,3387743
37203,818764,3387743,819567,3388579
37301,819000,3387215,818900,3387459
37302,818900,3387459,818683,3387659
37401,821871,3387759,821315,3387021
37501,818198,3387558,818588,3387900
37502,818588,3387900,819245,3388809
37601,818334,3388092,818588,3387900
37602,818588,3387900,818764,3387743
37701,823159,3387536,823259,3387676
37702,823259,3387676,823416,3388037
37703,823416,3388037,823515,3388006
37704,823515,3388006,823725,3388028
37705,823725,3388028,823823,3388113
37706,823823,3388113,823979,3388170
37707,823979,3388170,824046,3388252
37801,822241,3388253,821871,3387759
37901,821239,3388237,820643,3387789
37902,820643,3387789,820508,3387615
38001,820854,3388555,821239,3388237
38002,821239,3388237,821741,3387832
38003,821741,3387832,821871,3387759
38101,819567,3388579,819994,3388248
38102,819994,3388248,820244,3388052
38201,824046,3388252,824031,3388377
38202,824031,3388377,823753,3388478
38203,823753,3388478,823511,3388512
38204,823511,3388512,823424,3388562
38301,819994,3388248,820084,3388333
38302,820084,3388333,820209,3388449
38303,820209,3388449,820499,3388572
38304,820499,3388572,820689,3388691
38401,820244,3388052,820617,3388362
38402,820617,3388362,820854,3388555
38501,823282,3388982,822466,3388512
38502,822466,3388512,822241,3388253
38601,820084,3388333,819750,3388789
38701,819567,3388579,819245,3388809
38702,819245,3388809,818967,3389008
38801,821281,3388921,820854,3388555
38901,822241,3388253,821281,3388921
39001,823282,3388982,823391,3388753
39002,823391,3388753,823424,3388562
39101,819881,3388945,820080,3388695
39102,820080,3388695,820287,3388834
39103,820287,3388834,820414,3388918
39201,819180,3389263,819598,3388965
39202,819598,3388965,819750,3388789
39301,821889,3389410,821598,3389176
39302,821598,3389176,821281,3388921
39401,823282,3388982,823725,3389239
39402,823725,3389239,824240,3389552
39501,819520,3389662,819180,3389263
39502,819180,3389263,818967,3389008
39601,819909,3389334,819598,3388965
39701,819520,3389662,819718,3389509
39702,819718,3389509,819909,3389334
39703,819909,3389334,820081,3389193
39801,822175,3388925,821889,3389410
39901,818967,3389008,818489,3389350
40001,821465,3390107,821138,3389909
40002,821138,3389909,821598,3389176
40101,821889,3389410,822787,3389964
40201,823282,3388982,822787,3389964
40301,820043,3390276,819809,3390009
40302,819809,3390009,819520,3389662
40401,820367,3389544,819809,3390009
40501,821889,3389410,821465,3390107
40601,820579,3389839,820784,3390121
40602,820784,3390121,821111,3390502
40701,818489,3389350,818985,3390077
40801,819520,3389662,818985,3390077
40901,820579,3389839,820043,3390276
41001,818985,3390077,818732,3390247
41101,821465,3390107,821111,3390502
41201,821465,3390107,822369,3390649
41301,822787,3389964,822513,3390473
41302,822513,3390473,822369,3390649
41401,820638,3390973,820395,3390691
41402,820395,3390691,820043,3390276
41501,820784,3390121,820574,3390507
